Sample ID,Pressure (PSI),Welding Time (ms),Angle (Deg),Force (N),Current (A),Thickness A (mm),Thickness B (mm),Material,PullTest (N),NuggetDiameter (mm),Category,Comments
1,35,200,0,0,1315.41,0.922,0.92,SS,2127.7,2.63,Bad,DOE
1,35,200,0,3.41,1337.45,0.922,0.92,SS,2127.7,2.63,Bad,DOE
1,35,200,0,6.82,1081.47,0.922,0.92,SS,2127.7,2.63,Bad,DOE
2,35,1500,0,0,1819.13,0.92,0.925,SS,5346.4,3.34,Good,DOE
2,35,1500,0,3.41,2016.44,0.92,0.925,SS,5346.4,3.34,Good,DOE
2,35,1500,0,6.82,1910.44,0.92,0.925,SS,5346.4,3.34,Good,DOE
2,35,1500,0,10.24,1818.18,0.92,0.925,SS,5346.4,3.34,Good,DOE
2,35,1500,0,13.68,1750.71,0.92,0.925,SS,5346.4,3.34,Good,DOE
2,35,1500,0,17.17,1920.32,0.92,0.925,SS,5346.4,3.34,Good,DOE
2,35,1500,0,20.66,1912.24,0.92,0.925,SS,5346.4,3.34,Good,DOE
2,35,1500,0,24.15,1767.33,0.92,0.925,SS,5346.4,3.34,Good,DOE
2,35,1500,0,27.63,1767.33,0.92,0.925,SS,5346.4,3.34,Good,DOE
2,35,1500,0,31.13,1721.98,0.92,0.925,SS,5346.4,3.34,Good,DOE
2,35,1500,0,34.64,1795.33,0.92,0.925,SS,5346.4,3.34,Good,DOE
2,35,1500,0,38.15,1801.07,0.92,0.925,SS,5346.4,3.34,Good,DOE
2,35,1500,0,41.66,1937.26,0.92,0.925,SS,5346.4,3.34,Good,DOE
2,35,1500,0,45.18,1709.96,0.92,0.925,SS,5346.4,3.34,Good,DOE
2,35,1500,0,48.71,1786.69,0.92,0.925,SS,5346.4,3.34,Good,DOE
2,35,1500,0,52.25,2014.73,0.92,0.925,SS,5346.4,3.34,Good,DOE
3,95,1500,0,55.78,1721.98,0.944,0.927,SS,4293.8,4.43,Good,DOE
3,95,1500,0,60.66,1406.4,0.944,0.927,SS,4293.8,4.43,Good,DOE
3,95,1500,0,65.54,1331,0.944,0.927,SS,4293.8,4.43,Good,DOE
3,95,1500,0,70.42,1436.65,0.944,0.927,SS,4293.8,4.43,Good,DOE
3,95,1500,0,75.29,1312.79,0.944,0.927,SS,4293.8,4.43,Good,DOE
3,95,1500,0,80.13,1219.04,0.944,0.927,SS,4293.8,4.43,Good,DOE
